,GW,Team_name,Players in,Players out,Immediate gain
6,1,Greg Ham United,,,0.0
7,1,cylus11,,,0.0
8,1,BlackBox XV,,,0.0
9,1,I AM THE FPL MONSTER,,,0.0
10,1,Bharat ten Hag (c),,,0.0
11,1,50m Pound Sterling,,,0.0
12,1,KnowingMeeKnowinPugh,,,0.0
13,1,The Axe Gang,,,0.0
14,1,Zwaigerino FC,,,0.0
15,1,THE APEX PREDATOR,,,0.0
16,1,AVERAGE,,,
17,1,Iwobi wan kenobi,,,0.0
18,1,Ella  �  2008-2022,,,0.0
19,1,Paul the other 1,,,0.0
0,2,Audi TT,,,0.0
1,2,Dodgy Dazzlers,Foden,Mount,7.0
2,2,Reddragons,,,0.0
3,2,JB's El Chaps,,,0.0
4,2,Cerebral Berserk,,,0.0
5,2,Jose's Bus Drivers,Haaland,Kane,0.0
6,2,Greg Ham United,De Bruyne,Son,7.0
7,2,cylus11,Haaland,Kane,0.0
8,2,BlackBox XV,,,0.0
9,2,I AM THE FPL MONSTER,,,0.0
10,2,Bharat ten Hag (c),,,0.0
11,2,50m Pound Sterling,,,0.0
12,2,KnowingMeeKnowinPugh,Haaland,Kane,0.0
13,2,The Axe Gang,Haaland,Kane,0.0
14,2,Zwaigerino FC,Haaland,Kane,0.0
15,2,THE APEX PREDATOR,,,0.0
16,2,AVERAGE,,,
17,2,Iwobi wan kenobi,,,0.0
18,2,Ella  �  2008-2022,,,0.0
19,2,Paul the other 1,Haaland,Kane,-7.0
0,5,Audi TT,Cucurella,James,1.0
1,5,Dodgy Dazzlers,S.Longstaff,Dasilva,5.0
2,5,Reddragons,Dias,James,6.0
3,5,JB's El Chaps,White,N.Williams,9.0
4,5,Cerebral Berserk,Walker,Zinchenko,6.0
5,5,Jose's Bus Drivers,Dunk,James,-1.0
6,5,Greg Ham United,De Bruyne,Salah,-25.0
7,5,cylus11,Luis Díaz,Saka,-3.0
8,5,BlackBox XV,"Dias, Haaland, Mitrović, Foden, Estupiñán, Emerson, Gabriel, Henderson, Groß","James, Greenwood, Archer, De Bruyne, Perišić, Zinchenko, Cancelo, Iversen, Mount",22.0
9,5,I AM THE FPL MONSTER,Cucurella,James,1.0
10,5,Bharat ten Hag (c),Perišić,James,1.0
11,5,50m Pound Sterling,Eze,Lavia,-3.0
12,5,KnowingMeeKnowinPugh,"Perišić, Groß","James, Bailey",-3.0
13,5,The Axe Gang,,,0.0
14,5,Zwaigerino FC,,,0.0
15,5,THE APEX PREDATOR,Luis Díaz,Kulusevski,0.0
16,5,AVERAGE,,,
17,5,Iwobi wan kenobi,"Andreas, Alexander-Arnold, Van Dijk, Cancelo, Ward, Henderson, Mitrović, Luis Díaz, Dunk, Trippier, Gündogan, Sterling, Rodrigo, Veltman, Perišić, Saliba, Sánchez","Luis Díaz, Perišić, Patterson, Dunk, Iversen, Sánchez, Greenwood, Andreas, Trippier, Veltman, Neto, Son, Salah, Aït-Nouri, Cancelo, Robertson, Ward",12.0
18,5,Ella  �  2008-2022,Sánchez,Ramsdale,-1.0
19,5,Paul the other 1,"Haaland, Luis Díaz","Toney, Salah",-11.0
0,6,Audi TT,"Luis Díaz, N.Williams","Reed, Robertson",4.0
1,6,Reddragons,Groß,Rodrigo,5.0
2,6,Dodgy Dazzlers,"Trippier, Isak","Cucurella, Toney",-8.0
3,6,cylus11,,,0.0
4,6,Cerebral Berserk,Groß,Rodrigo,5.0
5,6,JB's El Chaps,Eze,Neto,0.0
6,6,Jose's Bus Drivers,Solanke,Greenwood,11.0
7,6,50m Pound Sterling,Trippier,Zinchenko,7.0
8,6,Greg Ham United,R.Sessegnon,Perišić,4.0
9,6,BlackBox XV,,,0.0
10,6,Zwaigerino FC,"Trossard, Trippier","Rodrigo, Robertson",19.0
11,6,THE APEX PREDATOR,Groß,Martinelli,3.0
12,6,AVERAGE,,,
13,6,Ella  �  2008-2022,N.Williams,Perišić,3.0
14,6,I AM THE FPL MONSTER,Zaha,Rodrigo,3.0
15,6,Bharat ten Hag (c),James,Perišić,0.0
16,6,KnowingMeeKnowinPugh,James,Perišić,0.0
17,6,The Axe Gang,"Zaha, Henderson","Rodrigo, Ramsdale",2.0
18,6,Paul the other 1,"Fofana, Stansfield","James, Mbeumo",-11.0
19,6,Iwobi wan kenobi,,,0.0
