,GW,Team_name,Players in,Players out,Immediate gain
0,3,Audi TT,Reed,Bailey,-3
1,3,Dodgy Dazzlers,"Alexander-Arnold, Patterson, Trippier, Cucurella, De Bruyne, Luis Díaz, Toney, Son, Martinelli, N.Williams","Patterson, Trippier, Alexander-Arnold, Trippier, Son, Foden, Archer, Salah, Bailey, Robertson",0
2,3,Reddragons,Martinelli,Mahrez,6
3,3,JB's El Chaps,"Martinelli, James","Saka, Cash",3
4,3,Cerebral Berserk,Sánchez,De Gea,5
5,3,Jose's Bus Drivers,Cucurella,Trippier,-5
6,3,Greg Ham United,Perišić,Robertson,11
7,3,cylus11,"James, Dasilva","Robertson, Neto",-5
8,3,BlackBox XV,"Martinelli, James, Zinchenko","Neto, Robertson, Digne",5
9,3,I AM THE FPL MONSTER,Groß,Rashford,-4
10,3,Bharat ten Hag (c),"Luis Díaz, Cucurella, Groß","Bailey, Robertson, Rashford",-11
11,3,50m Pound Sterling,"Saka, Dasilva","Neto, Sancho",-8
12,3,KnowingMeeKnowinPugh,,,0
13,3,The Axe Gang,"Cucurella, Martinelli","Trippier, Mount",-5
14,3,Zwaigerino FC,"Cucurella, Dasilva","Dalot, Bailey",-8
15,3,THE APEX PREDATOR,"Martinelli, Kulusevski, Cancelo","Bailey, Son, Dalot",-4
16,3,Iwobi wan kenobi,"Martinelli, Patterson","Bailey, Digne",2
17,3,Ella  �  2008-2022,"Luis Díaz, N.Williams, Dasilva","Neto, Robertson, Bailey",-8
18,3,Paul the other 1,"Walker, Iversen, Kulusevski, Patterson, Havertz, Sánchez, Cucurella, Perišić, Andreas, Ederson, Mings, Mitrović, Rodrigo, De Bruyne, Groß, Saliba, Cancelo, Toney, Andreas, Groß, Dias, Mbeumo, Andreas, Cancelo, Sánchez, Toney, Iversen, James, Zinchenko, Patterson, Mbeumo, Groß, Salah, Kulusevski, Walker, Cucurella, Van Dijk, Sánchez, Toney, Saliba, Dasilva","Saliba, Sánchez, Andreas, Cancelo, Mitrović, Ederson, Perišić, Mings, Rodrigo, Sánchez, Walker, Haaland, Kulusevski, Andreas, Luis Díaz, Dias, Patterson, Mbeumo, Groß, Andreas, Cancelo, Toney, Groß, Zinchenko, Iversen, Mbeumo, Sánchez, Van Dijk, Cucurella, Saliba, Toney, Son, Andreas, Dasilva, Cancelo, Alexander-Arnold, Robertson, Iversen, Archer, Doherty, Grealish",11
0,4,Audi TT,Groß,Neto,9.0
1,4,Dodgy Dazzlers,,,0.0
2,4,Reddragons,"Sánchez, Rodrigo","Iversen, Bailey",9.0
3,4,JB's El Chaps,,,0.0
4,4,Cerebral Berserk,Rodrigo,Neto,0.0
5,4,Jose's Bus Drivers,,,0.0
6,4,Greg Ham United,"Sánchez, Salah, Xhaka","Iversen, De Bruyne, Lingard",3.0
7,4,cylus11,Perišić,N.Williams,5.0
8,4,BlackBox XV,,,0.0
9,4,I AM THE FPL MONSTER,"Emerson Royal, Rodrigo","Aké, Groß",-3.0
10,4,Bharat ten Hag (c),,,0.0
11,4,50m Pound Sterling,,,0.0
12,4,KnowingMeeKnowinPugh,"Rodrigo, Sánchez","Mount, Iversen",9.0
13,4,The Axe Gang,Rodrigo,Bailey,1.0
14,4,Zwaigerino FC,Rodrigo,Rashford,-1.0
15,4,THE APEX PREDATOR,Toney,Wilson,2.0
16,4,AVERAGE,,,
17,4,Iwobi wan kenobi,,,0.0
18,4,Ella  �  2008-2022,Perišić,N.Williams,5.0
19,4,Paul the other 1,"Raya, Perišić, Mbeumo","Iversen, Patterson, Havertz",3.0
0,1,Audi TT,,,0.0
1,1,Dodgy Dazzlers,,,0.0
2,1,Reddragons,,,0.0
3,1,JB's El Chaps,,,0.0
4,1,Cerebral Berserk,,,0.0
5,1,Jose's Bus Drivers,,,0.0
